orig.ident	nCount_RNA	nFeature_RNA	Group	Sample	Condition
sample_01_Cell1_Group2	SCSimulation	56337	905	Group2	sample_01	Condition1
sample_01_Cell2_Group2	SCSimulation	48288	899	Group2	sample_01	Condition1
sample_01_Cell3_Group2	SCSimulation	50996	885	Group2	sample_01	Condition1
sample_01_Cell4_Group2	SCSimulation	63683	905	Group2	sample_01	Condition1
sample_01_Cell5_Group2	SCSimulation	36263	866	Group2	sample_01	Condition1
sample_01_Cell6_Group2	SCSimulation	46727	890	Group2	sample_01	Condition1
sample_01_Cell7_Group2	SCSimulation	68808	916	Group2	sample_01	Condition1
sample_01_Cell8_Group2	SCSimulation	59247	910	Group2	sample_01	Condition1
sample_01_Cell9_Group2	SCSimulation	45272	884	Group2	sample_01	Condition1
sample_01_Cell10_Group2	SCSimulation	62265	907	Group2	sample_01	Condition1
sample_01_Cell11_Group2	SCSimulation	77961	917	Group2	sample_01	Condition1
sample_01_Cell12_Group2	SCSimulation	57225	902	Group2	sample_01	Condition1
sample_01_Cell13_Group2	SCSimulation	60396	896	Group2	sample_01	Condition1
sample_01_Cell14_Group2	SCSimulation	56556	899	Group2	sample_01	Condition1
sample_01_Cell15_Group2	SCSimulation	71745	912	Group2	sample_01	Condition1
sample_01_Cell16_Group2	SCSimulation	74359	908	Group2	sample_01	Condition1
sample_01_Cell17_Group2	SCSimulation	51341	897	Group2	sample_01	Condition1
sample_01_Cell18_Group2	SCSimulation	56959	911	Group2	sample_01	Condition1
sample_01_Cell19_Group2	SCSimulation	46105	894	Group2	sample_01	Condition1
sample_01_Cell20_Group2	SCSimulation	63853	918	Group2	sample_01	Condition1
sample_01_Cell21_Group2	SCSimulation	50379	895	Group2	sample_01	Condition1
sample_01_Cell22_Group2	SCSimulation	52624	899	Group2	sample_01	Condition1
sample_01_Cell23_Group2	SCSimulation	44744	884	Group2	sample_01	Condition1
sample_01_Cell24_Group2	SCSimulation	75587	921	Group2	sample_01	Condition1
sample_02_Cell1_Group2	SCSimulation	50654	904	Group2	sample_02	Condition2
sample_02_Cell2_Group2	SCSimulation	73305	918	Group2	sample_02	Condition2
sample_02_Cell3_Group2	SCSimulation	56499	899	Group2	sample_02	Condition2
sample_02_Cell4_Group2	SCSimulation	43515	889	Group2	sample_02	Condition2
sample_02_Cell5_Group2	SCSimulation	63643	924	Group2	sample_02	Condition2
sample_02_Cell6_Group2	SCSimulation	56069	909	Group2	sample_02	Condition2
sample_02_Cell7_Group2	SCSimulation	57889	906	Group2	sample_02	Condition2
sample_02_Cell8_Group2	SCSimulation	62652	905	Group2	sample_02	Condition2
sample_02_Cell9_Group2	SCSimulation	56630	903	Group2	sample_02	Condition2
sample_02_Cell10_Group2	SCSimulation	48820	896	Group2	sample_02	Condition2
sample_02_Cell11_Group2	SCSimulation	61399	912	Group2	sample_02	Condition2
sample_02_Cell12_Group2	SCSimulation	63323	906	Group2	sample_02	Condition2
sample_02_Cell13_Group2	SCSimulation	78556	922	Group2	sample_02	Condition2
sample_02_Cell14_Group2	SCSimulation	44428	879	Group2	sample_02	Condition2
sample_02_Cell15_Group2	SCSimulation	54810	898	Group2	sample_02	Condition2
sample_02_Cell16_Group2	SCSimulation	44165	895	Group2	sample_02	Condition2
sample_02_Cell17_Group2	SCSimulation	65934	919	Group2	sample_02	Condition2
sample_02_Cell18_Group2	SCSimulation	51999	899	Group2	sample_02	Condition2
sample_02_Cell19_Group2	SCSimulation	57868	905	Group2	sample_02	Condition2
sample_02_Cell20_Group2	SCSimulation	68928	914	Group2	sample_02	Condition2
sample_02_Cell21_Group2	SCSimulation	60999	914	Group2	sample_02	Condition2
sample_02_Cell22_Group2	SCSimulation	60614	909	Group2	sample_02	Condition2
sample_02_Cell23_Group2	SCSimulation	62873	911	Group2	sample_02	Condition2
sample_02_Cell24_Group2	SCSimulation	82336	925	Group2	sample_02	Condition2
sample_03_Cell1_Group2	SCSimulation	68444	912	Group2	sample_03	Condition1
sample_03_Cell2_Group2	SCSimulation	70773	911	Group2	sample_03	Condition1
sample_03_Cell3_Group2	SCSimulation	43239	881	Group2	sample_03	Condition1
sample_03_Cell4_Group2	SCSimulation	58018	910	Group2	sample_03	Condition1
sample_03_Cell5_Group2	SCSimulation	64655	911	Group2	sample_03	Condition1
sample_03_Cell6_Group2	SCSimulation	59579	910	Group2	sample_03	Condition1
sample_03_Cell7_Group2	SCSimulation	58985	907	Group2	sample_03	Condition1
sample_03_Cell8_Group2	SCSimulation	84484	922	Group2	sample_03	Condition1
sample_03_Cell9_Group2	SCSimulation	52800	896	Group2	sample_03	Condition1
sample_03_Cell10_Group2	SCSimulation	47993	898	Group2	sample_03	Condition1
sample_03_Cell11_Group2	SCSimulation	64332	910	Group2	sample_03	Condition1
sample_03_Cell12_Group2	SCSimulation	44858	890	Group2	sample_03	Condition1
sample_03_Cell13_Group2	SCSimulation	51189	912	Group2	sample_03	Condition1
sample_03_Cell14_Group2	SCSimulation	62491	913	Group2	sample_03	Condition1
sample_03_Cell15_Group2	SCSimulation	66201	905	Group2	sample_03	Condition1
sample_03_Cell16_Group2	SCSimulation	71398	919	Group2	sample_03	Condition1
sample_03_Cell17_Group2	SCSimulation	54245	909	Group2	sample_03	Condition1
sample_03_Cell18_Group2	SCSimulation	79123	923	Group2	sample_03	Condition1
sample_03_Cell19_Group2	SCSimulation	75687	922	Group2	sample_03	Condition1
sample_03_Cell20_Group2	SCSimulation	49826	905	Group2	sample_03	Condition1
sample_03_Cell21_Group2	SCSimulation	63872	909	Group2	sample_03	Condition1
sample_03_Cell22_Group2	SCSimulation	41447	890	Group2	sample_03	Condition1
sample_03_Cell23_Group2	SCSimulation	49482	899	Group2	sample_03	Condition1
sample_03_Cell24_Group2	SCSimulation	62229	906	Group2	sample_03	Condition1
sample_04_Cell1_Group2	SCSimulation	91377	925	Group2	sample_04	Condition2
sample_04_Cell2_Group2	SCSimulation	70154	923	Group2	sample_04	Condition2
sample_04_Cell3_Group2	SCSimulation	65881	908	Group2	sample_04	Condition2
sample_04_Cell4_Group2	SCSimulation	60798	903	Group2	sample_04	Condition2
sample_04_Cell5_Group2	SCSimulation	43658	881	Group2	sample_04	Condition2
sample_04_Cell6_Group2	SCSimulation	54587	886	Group2	sample_04	Condition2
sample_04_Cell7_Group2	SCSimulation	79486	932	Group2	sample_04	Condition2
sample_04_Cell8_Group2	SCSimulation	82297	923	Group2	sample_04	Condition2
sample_04_Cell9_Group2	SCSimulation	31229	863	Group2	sample_04	Condition2
sample_04_Cell10_Group2	SCSimulation	55467	907	Group2	sample_04	Condition2
sample_04_Cell11_Group2	SCSimulation	39307	879	Group2	sample_04	Condition2
sample_04_Cell12_Group2	SCSimulation	67408	904	Group2	sample_04	Condition2
sample_04_Cell13_Group2	SCSimulation	53355	904	Group2	sample_04	Condition2
sample_04_Cell14_Group2	SCSimulation	54869	897	Group2	sample_04	Condition2
sample_04_Cell15_Group2	SCSimulation	56585	894	Group2	sample_04	Condition2
sample_04_Cell16_Group2	SCSimulation	72792	909	Group2	sample_04	Condition2
sample_04_Cell17_Group2	SCSimulation	61501	913	Group2	sample_04	Condition2
sample_04_Cell18_Group2	SCSimulation	73538	922	Group2	sample_04	Condition2
sample_04_Cell19_Group2	SCSimulation	51070	894	Group2	sample_04	Condition2
sample_04_Cell20_Group2	SCSimulation	42607	888	Group2	sample_04	Condition2
sample_04_Cell21_Group2	SCSimulation	69980	910	Group2	sample_04	Condition2
sample_04_Cell22_Group2	SCSimulation	59896	911	Group2	sample_04	Condition2
sample_04_Cell23_Group2	SCSimulation	75954	922	Group2	sample_04	Condition2
sample_04_Cell24_Group2	SCSimulation	56725	900	Group2	sample_04	Condition2
sample_05_Cell1_Group2	SCSimulation	87391	928	Group2	sample_05	Condition1
sample_05_Cell2_Group2	SCSimulation	60522	916	Group2	sample_05	Condition1
sample_05_Cell3_Group2	SCSimulation	54531	899	Group2	sample_05	Condition1
sample_05_Cell4_Group2	SCSimulation	67053	910	Group2	sample_05	Condition1
sample_05_Cell5_Group2	SCSimulation	35617	877	Group2	sample_05	Condition1
sample_05_Cell6_Group2	SCSimulation	59968	910	Group2	sample_05	Condition1
sample_05_Cell7_Group2	SCSimulation	53155	896	Group2	sample_05	Condition1
sample_05_Cell8_Group2	SCSimulation	64809	913	Group2	sample_05	Condition1
sample_05_Cell9_Group2	SCSimulation	48877	895	Group2	sample_05	Condition1
sample_05_Cell10_Group2	SCSimulation	68221	928	Group2	sample_05	Condition1
sample_05_Cell11_Group2	SCSimulation	58483	916	Group2	sample_05	Condition1
sample_05_Cell12_Group2	SCSimulation	88845	935	Group2	sample_05	Condition1
sample_05_Cell13_Group2	SCSimulation	61337	925	Group2	sample_05	Condition1
sample_05_Cell14_Group2	SCSimulation	41385	877	Group2	sample_05	Condition1
sample_05_Cell15_Group2	SCSimulation	74172	925	Group2	sample_05	Condition1
sample_05_Cell16_Group2	SCSimulation	77264	918	Group2	sample_05	Condition1
sample_05_Cell17_Group2	SCSimulation	48519	887	Group2	sample_05	Condition1
sample_05_Cell18_Group2	SCSimulation	68483	912	Group2	sample_05	Condition1
sample_05_Cell19_Group2	SCSimulation	67461	910	Group2	sample_05	Condition1
sample_05_Cell20_Group2	SCSimulation	62219	920	Group2	sample_05	Condition1
sample_05_Cell21_Group2	SCSimulation	46945	898	Group2	sample_05	Condition1
sample_05_Cell22_Group2	SCSimulation	69119	937	Group2	sample_05	Condition1
sample_05_Cell23_Group2	SCSimulation	51586	898	Group2	sample_05	Condition1
sample_05_Cell24_Group2	SCSimulation	56191	899	Group2	sample_05	Condition1
sample_06_Cell1_Group2	SCSimulation	79398	919	Group2	sample_06	Condition1
sample_06_Cell2_Group2	SCSimulation	56324	899	Group2	sample_06	Condition1
sample_06_Cell3_Group2	SCSimulation	67817	903	Group2	sample_06	Condition1
sample_06_Cell4_Group2	SCSimulation	42423	890	Group2	sample_06	Condition1
sample_06_Cell5_Group2	SCSimulation	57533	914	Group2	sample_06	Condition1
sample_06_Cell6_Group2	SCSimulation	79575	912	Group2	sample_06	Condition1
sample_06_Cell7_Group2	SCSimulation	60310	907	Group2	sample_06	Condition1
sample_06_Cell8_Group2	SCSimulation	48073	896	Group2	sample_06	Condition1
sample_06_Cell9_Group2	SCSimulation	63650	903	Group2	sample_06	Condition1
sample_06_Cell10_Group2	SCSimulation	59167	902	Group2	sample_06	Condition1
sample_06_Cell11_Group2	SCSimulation	53049	899	Group2	sample_06	Condition1
sample_06_Cell12_Group2	SCSimulation	60728	900	Group2	sample_06	Condition1
sample_06_Cell13_Group2	SCSimulation	61087	913	Group2	sample_06	Condition1
sample_06_Cell14_Group2	SCSimulation	48975	896	Group2	sample_06	Condition1
sample_06_Cell15_Group2	SCSimulation	83293	920	Group2	sample_06	Condition1
sample_06_Cell16_Group2	SCSimulation	88053	920	Group2	sample_06	Condition1
sample_06_Cell17_Group2	SCSimulation	60408	898	Group2	sample_06	Condition1
sample_06_Cell18_Group2	SCSimulation	50638	898	Group2	sample_06	Condition1
sample_06_Cell19_Group2	SCSimulation	50003	894	Group2	sample_06	Condition1
sample_06_Cell20_Group2	SCSimulation	46970	889	Group2	sample_06	Condition1
sample_06_Cell21_Group2	SCSimulation	49971	897	Group2	sample_06	Condition1
sample_06_Cell22_Group2	SCSimulation	45543	884	Group2	sample_06	Condition1
sample_06_Cell23_Group2	SCSimulation	63965	906	Group2	sample_06	Condition1
sample_06_Cell24_Group2	SCSimulation	74033	920	Group2	sample_06	Condition1
sample_07_Cell1_Group2	SCSimulation	52859	901	Group2	sample_07	Condition1
sample_07_Cell2_Group2	SCSimulation	53830	900	Group2	sample_07	Condition1
sample_07_Cell3_Group2	SCSimulation	66667	912	Group2	sample_07	Condition1
sample_07_Cell4_Group2	SCSimulation	60042	903	Group2	sample_07	Condition1
sample_07_Cell5_Group2	SCSimulation	44032	879	Group2	sample_07	Condition1
sample_07_Cell6_Group2	SCSimulation	57330	902	Group2	sample_07	Condition1
sample_07_Cell7_Group2	SCSimulation	52221	894	Group2	sample_07	Condition1
sample_07_Cell8_Group2	SCSimulation	76849	922	Group2	sample_07	Condition1
sample_07_Cell9_Group2	SCSimulation	73738	913	Group2	sample_07	Condition1
sample_07_Cell10_Group2	SCSimulation	71080	915	Group2	sample_07	Condition1
sample_07_Cell11_Group2	SCSimulation	39430	886	Group2	sample_07	Condition1
sample_07_Cell12_Group2	SCSimulation	57452	902	Group2	sample_07	Condition1
sample_07_Cell13_Group2	SCSimulation	54959	908	Group2	sample_07	Condition1
sample_07_Cell14_Group2	SCSimulation	56386	898	Group2	sample_07	Condition1
sample_07_Cell15_Group2	SCSimulation	62125	905	Group2	sample_07	Condition1
sample_07_Cell16_Group2	SCSimulation	67480	911	Group2	sample_07	Condition1
sample_07_Cell17_Group2	SCSimulation	62651	908	Group2	sample_07	Condition1
sample_07_Cell18_Group2	SCSimulation	65441	908	Group2	sample_07	Condition1
sample_07_Cell19_Group2	SCSimulation	67332	920	Group2	sample_07	Condition1
sample_07_Cell20_Group2	SCSimulation	44122	881	Group2	sample_07	Condition1
sample_07_Cell21_Group2	SCSimulation	47468	884	Group2	sample_07	Condition1
sample_07_Cell22_Group2	SCSimulation	58992	904	Group2	sample_07	Condition1
sample_07_Cell23_Group2	SCSimulation	61153	899	Group2	sample_07	Condition1
sample_07_Cell24_Group2	SCSimulation	68444	917	Group2	sample_07	Condition1
sample_08_Cell1_Group2	SCSimulation	67221	904	Group2	sample_08	Condition2
sample_08_Cell2_Group2	SCSimulation	89114	919	Group2	sample_08	Condition2
sample_08_Cell3_Group2	SCSimulation	67337	913	Group2	sample_08	Condition2
sample_08_Cell4_Group2	SCSimulation	50162	898	Group2	sample_08	Condition2
sample_08_Cell5_Group2	SCSimulation	52468	895	Group2	sample_08	Condition2
sample_08_Cell6_Group2	SCSimulation	34150	873	Group2	sample_08	Condition2
sample_08_Cell7_Group2	SCSimulation	51374	887	Group2	sample_08	Condition2
sample_08_Cell8_Group2	SCSimulation	72356	908	Group2	sample_08	Condition2
sample_08_Cell9_Group2	SCSimulation	58335	900	Group2	sample_08	Condition2
sample_08_Cell10_Group2	SCSimulation	66070	906	Group2	sample_08	Condition2
sample_08_Cell11_Group2	SCSimulation	57447	903	Group2	sample_08	Condition2
sample_08_Cell12_Group2	SCSimulation	72266	920	Group2	sample_08	Condition2
sample_08_Cell13_Group2	SCSimulation	79827	919	Group2	sample_08	Condition2
sample_08_Cell14_Group2	SCSimulation	97005	931	Group2	sample_08	Condition2
sample_08_Cell15_Group2	SCSimulation	40591	878	Group2	sample_08	Condition2
sample_08_Cell16_Group2	SCSimulation	66396	918	Group2	sample_08	Condition2
sample_08_Cell17_Group2	SCSimulation	56705	907	Group2	sample_08	Condition2
sample_08_Cell18_Group2	SCSimulation	58634	901	Group2	sample_08	Condition2
sample_08_Cell19_Group2	SCSimulation	66452	901	Group2	sample_08	Condition2
sample_08_Cell20_Group2	SCSimulation	47458	887	Group2	sample_08	Condition2
sample_08_Cell21_Group2	SCSimulation	56127	890	Group2	sample_08	Condition2
sample_08_Cell22_Group2	SCSimulation	70639	913	Group2	sample_08	Condition2
sample_08_Cell23_Group2	SCSimulation	56575	893	Group2	sample_08	Condition2
sample_08_Cell24_Group2	SCSimulation	76226	917	Group2	sample_08	Condition2
sample_09_Cell1_Group2	SCSimulation	62713	904	Group2	sample_09	Condition2
sample_09_Cell2_Group2	SCSimulation	49468	895	Group2	sample_09	Condition2
sample_09_Cell3_Group2	SCSimulation	48068	895	Group2	sample_09	Condition2
sample_09_Cell4_Group2	SCSimulation	58289	903	Group2	sample_09	Condition2
sample_09_Cell5_Group2	SCSimulation	81333	925	Group2	sample_09	Condition2
sample_09_Cell6_Group2	SCSimulation	48403	898	Group2	sample_09	Condition2
sample_09_Cell7_Group2	SCSimulation	59519	905	Group2	sample_09	Condition2
sample_09_Cell8_Group2	SCSimulation	74333	927	Group2	sample_09	Condition2
sample_09_Cell9_Group2	SCSimulation	54900	897	Group2	sample_09	Condition2
sample_09_Cell10_Group2	SCSimulation	42773	896	Group2	sample_09	Condition2
sample_09_Cell11_Group2	SCSimulation	74331	914	Group2	sample_09	Condition2
sample_09_Cell12_Group2	SCSimulation	69958	911	Group2	sample_09	Condition2
sample_09_Cell13_Group2	SCSimulation	62736	901	Group2	sample_09	Condition2
sample_09_Cell14_Group2	SCSimulation	72058	922	Group2	sample_09	Condition2
sample_09_Cell15_Group2	SCSimulation	61256	914	Group2	sample_09	Condition2
sample_09_Cell16_Group2	SCSimulation	65673	905	Group2	sample_09	Condition2
sample_09_Cell17_Group2	SCSimulation	58095	908	Group2	sample_09	Condition2
sample_09_Cell18_Group2	SCSimulation	42197	899	Group2	sample_09	Condition2
sample_09_Cell19_Group2	SCSimulation	55627	908	Group2	sample_09	Condition2
sample_09_Cell20_Group2	SCSimulation	61401	919	Group2	sample_09	Condition2
sample_09_Cell21_Group2	SCSimulation	49860	894	Group2	sample_09	Condition2
sample_09_Cell22_Group2	SCSimulation	54999	896	Group2	sample_09	Condition2
sample_09_Cell23_Group2	SCSimulation	41089	885	Group2	sample_09	Condition2
sample_09_Cell24_Group2	SCSimulation	44773	883	Group2	sample_09	Condition2
sample_10_Cell1_Group2	SCSimulation	45495	886	Group2	sample_10	Condition1
sample_10_Cell2_Group2	SCSimulation	62580	914	Group2	sample_10	Condition1
sample_10_Cell3_Group2	SCSimulation	55474	904	Group2	sample_10	Condition1
sample_10_Cell4_Group2	SCSimulation	65485	920	Group2	sample_10	Condition1
sample_10_Cell5_Group2	SCSimulation	84674	923	Group2	sample_10	Condition1
sample_10_Cell6_Group2	SCSimulation	60334	917	Group2	sample_10	Condition1
sample_10_Cell7_Group2	SCSimulation	84404	926	Group2	sample_10	Condition1
sample_10_Cell8_Group2	SCSimulation	47014	875	Group2	sample_10	Condition1
sample_10_Cell9_Group2	SCSimulation	65392	912	Group2	sample_10	Condition1
sample_10_Cell10_Group2	SCSimulation	74723	928	Group2	sample_10	Condition1
sample_10_Cell11_Group2	SCSimulation	67252	915	Group2	sample_10	Condition1
sample_10_Cell12_Group2	SCSimulation	68794	920	Group2	sample_10	Condition1
sample_10_Cell13_Group2	SCSimulation	71236	910	Group2	sample_10	Condition1
sample_10_Cell14_Group2	SCSimulation	50369	890	Group2	sample_10	Condition1
sample_10_Cell15_Group2	SCSimulation	44089	884	Group2	sample_10	Condition1
sample_10_Cell16_Group2	SCSimulation	46350	899	Group2	sample_10	Condition1
sample_10_Cell17_Group2	SCSimulation	88052	930	Group2	sample_10	Condition1
sample_10_Cell18_Group2	SCSimulation	51430	902	Group2	sample_10	Condition1
sample_10_Cell19_Group2	SCSimulation	89518	925	Group2	sample_10	Condition1
sample_10_Cell20_Group2	SCSimulation	53653	892	Group2	sample_10	Condition1
sample_10_Cell21_Group2	SCSimulation	54352	897	Group2	sample_10	Condition1
sample_10_Cell22_Group2	SCSimulation	62371	914	Group2	sample_10	Condition1
sample_10_Cell23_Group2	SCSimulation	54491	907	Group2	sample_10	Condition1
sample_10_Cell24_Group2	SCSimulation	43639	888	Group2	sample_10	Condition1
sample_11_Cell1_Group2	SCSimulation	44566	892	Group2	sample_11	Condition2
sample_11_Cell2_Group2	SCSimulation	59258	913	Group2	sample_11	Condition2
sample_11_Cell3_Group2	SCSimulation	51317	894	Group2	sample_11	Condition2
sample_11_Cell4_Group2	SCSimulation	60975	904	Group2	sample_11	Condition2
sample_11_Cell5_Group2	SCSimulation	68253	919	Group2	sample_11	Condition2
sample_11_Cell6_Group2	SCSimulation	54615	901	Group2	sample_11	Condition2
sample_11_Cell7_Group2	SCSimulation	67360	906	Group2	sample_11	Condition2
sample_11_Cell8_Group2	SCSimulation	66753	918	Group2	sample_11	Condition2
sample_11_Cell9_Group2	SCSimulation	64014	906	Group2	sample_11	Condition2
sample_11_Cell10_Group2	SCSimulation	70368	916	Group2	sample_11	Condition2
sample_11_Cell11_Group2	SCSimulation	74175	925	Group2	sample_11	Condition2
sample_11_Cell12_Group2	SCSimulation	64050	907	Group2	sample_11	Condition2
sample_11_Cell13_Group2	SCSimulation	78610	920	Group2	sample_11	Condition2
sample_11_Cell14_Group2	SCSimulation	57517	904	Group2	sample_11	Condition2
sample_11_Cell15_Group2	SCSimulation	70268	918	Group2	sample_11	Condition2
