orig.ident	nCount_RNA	nFeature_RNA	Group	Sample	Condition
sample_01_Cell1_Group1	SCSimulation	61777	911	Group1	sample_01	Condition1
sample_01_Cell2_Group1	SCSimulation	76821	927	Group1	sample_01	Condition1
sample_01_Cell3_Group1	SCSimulation	42398	890	Group1	sample_01	Condition1
sample_01_Cell4_Group1	SCSimulation	83593	920	Group1	sample_01	Condition1
sample_01_Cell5_Group1	SCSimulation	66287	911	Group1	sample_01	Condition1
sample_01_Cell6_Group1	SCSimulation	98396	919	Group1	sample_01	Condition1
sample_01_Cell7_Group1	SCSimulation	66541	909	Group1	sample_01	Condition1
sample_01_Cell8_Group1	SCSimulation	63835	899	Group1	sample_01	Condition1
sample_01_Cell9_Group1	SCSimulation	48072	896	Group1	sample_01	Condition1
sample_02_Cell1_Group1	SCSimulation	43432	887	Group1	sample_02	Condition2
sample_02_Cell2_Group1	SCSimulation	72249	918	Group1	sample_02	Condition2
sample_02_Cell3_Group1	SCSimulation	64244	915	Group1	sample_02	Condition2
sample_02_Cell4_Group1	SCSimulation	53641	909	Group1	sample_02	Condition2
sample_02_Cell5_Group1	SCSimulation	54524	909	Group1	sample_02	Condition2
sample_02_Cell6_Group1	SCSimulation	83191	922	Group1	sample_02	Condition2
sample_02_Cell7_Group1	SCSimulation	64344	915	Group1	sample_02	Condition2
sample_02_Cell8_Group1	SCSimulation	71237	913	Group1	sample_02	Condition2
sample_02_Cell9_Group1	SCSimulation	77374	921	Group1	sample_02	Condition2
sample_03_Cell1_Group1	SCSimulation	47087	888	Group1	sample_03	Condition1
sample_03_Cell2_Group1	SCSimulation	66645	918	Group1	sample_03	Condition1
sample_03_Cell3_Group1	SCSimulation	64005	911	Group1	sample_03	Condition1
sample_03_Cell4_Group1	SCSimulation	51114	891	Group1	sample_03	Condition1
sample_03_Cell5_Group1	SCSimulation	58538	913	Group1	sample_03	Condition1
sample_03_Cell6_Group1	SCSimulation	57381	907	Group1	sample_03	Condition1
sample_03_Cell7_Group1	SCSimulation	61641	900	Group1	sample_03	Condition1
sample_03_Cell8_Group1	SCSimulation	62517	906	Group1	sample_03	Condition1
sample_03_Cell9_Group1	SCSimulation	66265	898	Group1	sample_03	Condition1
sample_04_Cell1_Group1	SCSimulation	51804	905	Group1	sample_04	Condition2
sample_04_Cell2_Group1	SCSimulation	74664	923	Group1	sample_04	Condition2
sample_04_Cell3_Group1	SCSimulation	64111	913	Group1	sample_04	Condition2
sample_04_Cell4_Group1	SCSimulation	54791	904	Group1	sample_04	Condition2
sample_04_Cell5_Group1	SCSimulation	59784	910	Group1	sample_04	Condition2
sample_04_Cell6_Group1	SCSimulation	52979	901	Group1	sample_04	Condition2
sample_04_Cell7_Group1	SCSimulation	60298	912	Group1	sample_04	Condition2
sample_04_Cell8_Group1	SCSimulation	53333	903	Group1	sample_04	Condition2
sample_04_Cell9_Group1	SCSimulation	52684	903	Group1	sample_04	Condition2
sample_05_Cell1_Group1	SCSimulation	57403	902	Group1	sample_05	Condition1
sample_05_Cell2_Group1	SCSimulation	73011	914	Group1	sample_05	Condition1
sample_05_Cell3_Group1	SCSimulation	59463	899	Group1	sample_05	Condition1
sample_05_Cell4_Group1	SCSimulation	105166	930	Group1	sample_05	Condition1
sample_05_Cell5_Group1	SCSimulation	49352	911	Group1	sample_05	Condition1
sample_05_Cell6_Group1	SCSimulation	59613	898	Group1	sample_05	Condition1
sample_05_Cell7_Group1	SCSimulation	61924	912	Group1	sample_05	Condition1
sample_05_Cell8_Group1	SCSimulation	47367	897	Group1	sample_05	Condition1
sample_05_Cell9_Group1	SCSimulation	73015	907	Group1	sample_05	Condition1
sample_06_Cell1_Group1	SCSimulation	88573	920	Group1	sample_06	Condition1
sample_06_Cell2_Group1	SCSimulation	47320	895	Group1	sample_06	Condition1
sample_06_Cell3_Group1	SCSimulation	66527	909	Group1	sample_06	Condition1
sample_06_Cell4_Group1	SCSimulation	65445	916	Group1	sample_06	Condition1
sample_06_Cell5_Group1	SCSimulation	82506	931	Group1	sample_06	Condition1
sample_06_Cell6_Group1	SCSimulation	68585	911	Group1	sample_06	Condition1
sample_06_Cell7_Group1	SCSimulation	69718	914	Group1	sample_06	Condition1
sample_06_Cell8_Group1	SCSimulation	57084	898	Group1	sample_06	Condition1
sample_06_Cell9_Group1	SCSimulation	57644	916	Group1	sample_06	Condition1
sample_07_Cell1_Group1	SCSimulation	60852	901	Group1	sample_07	Condition1
sample_07_Cell2_Group1	SCSimulation	61422	907	Group1	sample_07	Condition1
sample_07_Cell3_Group1	SCSimulation	49156	885	Group1	sample_07	Condition1
sample_07_Cell4_Group1	SCSimulation	61779	896	Group1	sample_07	Condition1
sample_07_Cell5_Group1	SCSimulation	65688	914	Group1	sample_07	Condition1
sample_07_Cell6_Group1	SCSimulation	62049	901	Group1	sample_07	Condition1
sample_07_Cell7_Group1	SCSimulation	64393	901	Group1	sample_07	Condition1
sample_07_Cell8_Group1	SCSimulation	42176	877	Group1	sample_07	Condition1
sample_07_Cell9_Group1	SCSimulation	93996	932	Group1	sample_07	Condition1
sample_08_Cell1_Group1	SCSimulation	42864	890	Group1	sample_08	Condition2
sample_08_Cell2_Group1	SCSimulation	70254	919	Group1	sample_08	Condition2
sample_08_Cell3_Group1	SCSimulation	54599	911	Group1	sample_08	Condition2
sample_08_Cell4_Group1	SCSimulation	54217	906	Group1	sample_08	Condition2
sample_08_Cell5_Group1	SCSimulation	50561	897	Group1	sample_08	Condition2
sample_08_Cell6_Group1	SCSimulation	55518	896	Group1	sample_08	Condition2
sample_08_Cell7_Group1	SCSimulation	54525	894	Group1	sample_08	Condition2
sample_08_Cell8_Group1	SCSimulation	53989	898	Group1	sample_08	Condition2
sample_08_Cell9_Group1	SCSimulation	64281	914	Group1	sample_08	Condition2
sample_09_Cell1_Group1	SCSimulation	79607	928	Group1	sample_09	Condition2
sample_09_Cell2_Group1	SCSimulation	55918	913	Group1	sample_09	Condition2
sample_09_Cell3_Group1	SCSimulation	53538	901	Group1	sample_09	Condition2
sample_09_Cell4_Group1	SCSimulation	77229	916	Group1	sample_09	Condition2
sample_09_Cell5_Group1	SCSimulation	66535	911	Group1	sample_09	Condition2
sample_09_Cell6_Group1	SCSimulation	75536	915	Group1	sample_09	Condition2
